日期	产品	负责人	数量	折扣	价格	销售额
20201110	Puma	王源	8	0.055	27.95	211.3
20200216	杰克琼斯	黄子韬	96	0.4375	49.95	2697.3
20200420	安德玛	王鹤棣	8	0.055	14.95	113.02
20201021	Nike	王鹤棣	72	0.4375	20.95	848.48
20201125	Adidas	王鹤棣	7	0.055	26.95	178.27
20201104	Nike	宋小宝	84	0.4375	20.95	989.89
20200422	Nike	张艺兴	99	0.4375	20.95	1166.65
20201108	利郎	张艺兴	108	0.475	29.95	1698.17
20201203	Nike	黄晓明	84	0.4375	20.95	989.89
20201205	安德玛	马天宇	132	0.475	14.95	1036.04
20201201	Adidas	官鸿	5	0.055	26.95	127.34
20200613	Puma	官鸿	47	0.4	27.95	788.19
20200520	李宁	黄渤	204	0.525	26.95	2611.46
20200421	Converse	宋小宝	108	0.475	44.95	2548.67
20201214	利郎	舒淇	53	0.4375	29.95	892.88
20200521	Puma	沈月	9	0.055	27.95	237.71
20200403	Puma	宋小宝	9	0.055	27.95	237.71
20201203	Nike	王源	7	0.055	20.95	138.58
20200515	Nike	苏有朋	42	0.4	20.95	527.94
20201123	Columbia	王鹤棣	50	0.4375	25.95	729.84
20200522	Nike	张艺兴	24	0.375	20.95	314.25
20200422	Nike	蔡徐坤	7	0.055	20.95	138.58
20201227	利郎	张艺兴	6	0.055	29.95	169.82
20201201	Nike	王俊凯	84	0.4375	20.95	989.89
20201122	安德玛	沈月	38	0.4	14.95	340.86
20201104	Puma	宋小宝	166	0.475	27.95	2435.84
20200414	Archaeopteryx	苏有朋	96	0.4375	20.95	1131.3
20201109	安踏	王俊凯	186	0.475	36.95	3608.17
20201218	Puma	易烊千玺	72	0.4375	27.95	1131.98
20200531	Adidas	王鹤棣	59	0.4375	26.95	894.4
20201216	The North Face	王俊凯	216	0.525	26	2667.6
20200415	Nike	王祖蓝	72	0.4375	20.95	848.48
20200421	Converse	官鸿	69	0.4375	44.95	1744.62
20200412	安踏	黄渤	12	0.25	36.95	332.55
20201222	安德玛	王鹤棣	48	0.4375	14.95	403.65
20201207	安踏	王祖蓝	5	0.055	36.95	174.59
20201130	Puma	王鹤棣	51	0.4375	27.95	801.82
20201107	Converse	王鹤棣	84	0.4375	44.95	2123.89
20201216	Converse	黄渤	70	0.4375	44.95	1769.91
20200607	Puma	马天宇	213	0.525	27.95	2827.84
20200302	Puma	王祖蓝	80	0.4375	27.95	1257.75
20201207	The North Face	官鸿	7	0.055	26	171.99
20200601	Puma	王祖蓝	7	0.055	27.95	184.89
20201226	狼爪	王祖蓝	26	0.375	23.95	389.19
20200501	安踏	舒淇	96	0.4375	36.95	1995.3
20201210	杰克琼斯	易烊千玺	72	0.4375	49.95	2022.98
20201123	Converse	张大大	120	0.475	44.95	2831.85
20200208	Converse	王祖蓝	181	0.475	44.95	4271.37
20200603	Puma	黄渤	96	0.4375	27.95	1509.3
20201125	Converse	白举纲	240	0.525	44.95	5124.3
20201219	Converse	张艺兴	72	0.4375	44.95	1820.48
20201004	利郎	蔡徐坤	7	0.055	29.95	198.12
20200405	探路者	宋小宝	48	0.4375	24.95	673.65
20201224	Puma	易烊千玺	60	0.4375	27.95	943.31
20200603	Nike	王祖蓝	53	0.4375	20.95	624.57
20201126	Puma	王鹤棣	7	0.055	27.95	184.89
20200427	Columbia	张艺兴	96	0.4375	25.95	1401.3
20200506	狼爪	黄子韬	51	0.4375	23.95	687.07
20201015	Nike	易烊千玺	6	0.055	20.95	118.79
20200419	杰克琼斯	官鸿	72	0.4375	49.95	2022.98
20201118	Adidas	王鹤棣	109	0.475	26.95	1542.21
20200501	狼爪	黄渤	60	0.4375	23.95	808.31
20201113	Converse	沈月	10	0.055	44.95	424.78
20200630	Nike	宋小宝	60	0.4375	20.95	707.06
20201215	利郎	邓超	25	0.375	29.95	467.97
20200429	安德玛	邓超	156	0.475	14.95	1224.41
20201215	Converse	宋小宝	84	0.4375	44.95	2123.89
20200504	Nike	黄渤	72	0.4375	20.95	848.48
20200401	利郎	王源	63	0.4375	29.95	1061.35
20201025	Puma	沈月	60	0.4375	27.95	943.31
20201118	Converse	邓超	21	0.25	44.95	707.96
20201208	Adidas	沈月	228	0.525	26.95	2918.69
20200412	Columbia	张艺兴	48	0.4375	25.95	700.65
20200712	杰克琼斯	王鹤棣	168	0.475	49.95	4405.59
20200619	狼爪	蔡徐坤	72	0.4375	23.95	969.98
20201121	狼爪	黄渤	7	0.055	23.95	158.43
20200425	Converse	邓超	7	0.055	44.95	297.34
20200426	The North Face	王鹤棣	17	0.25	26	331.5
20200510	Nike	张艺兴	235	0.525	20.95	2338.54
20201112	Converse	王鹤棣	72	0.4375	44.95	1820.48
20200609	Archaeopteryx	蔡徐坤	20	0.25	20.95	314.25
20201203	Puma	易烊千玺	216	0.525	27.95	2867.67
20201125	杰克琼斯	黄子韬	6	0.055	49.95	283.22
20201116	Nike	易烊千玺	96	0.4375	20.95	1131.3
20200827	Converse	王鹤棣	27	0.375	44.95	758.53
20200420	Columbia	黄渤	72	0.4375	25.95	1050.98
20201119	Archaeopteryx	张艺兴	67	0.4375	20.95	789.55
20201203	Puma	王鹤棣	7	0.055	27.95	184.89
20200304	The North Face	宋小宝	60	0.4375	26	877.5
20201210	Archaeopteryx	黄子韬	189	0.475	20.95	2078.76
20200419	Nike	蔡徐坤	84	0.4375	20.95	989.89
20201213	Nike	王祖蓝	4	0	20.95	83.8
20201112	Adidas	苏有朋	25	0.375	26.95	421.09
20201115	Puma	黄子韬	7	0.055	27.95	184.89
20201127	Nike	易烊千玺	120	0.475	20.95	1319.85
20200907	Nike	黄晓明	8	0.055	20.95	158.38
20201029	The North Face	张大大	12	0.25	26	234
20201129	安德玛	沈月	61	0.4375	14.95	512.97
20200427	探路者	张艺兴	84	0.4375	24.95	1178.89
20201025	Nike	王俊凯	7	0.055	20.95	138.58
20201103	Converse	宋小宝	85	0.4375	44.95	2149.17
20200610	利郎	苏有朋	72	0.4375	29.95	1212.98
20200515	Nike	王源	172	0.475	20.95	1891.79
20201123	杰克琼斯	黄渤	1	0	49.95	49.95
20201019	安踏	官鸿	72	0.4375	36.95	1496.48
20201212	Converse	官鸿	48	0.4375	44.95	1213.65
20200625	Puma	王迅	8	0.055	27.95	211.3
20201103	杰克琼斯	宋小宝	72	0.4375	49.95	2022.98
20201207	狼爪	王祖蓝	6	0.055	23.95	135.8
20201201	李宁	黄渤	41	0.4	26.95	662.97
20201007	安德玛	黄渤	80	0.4375	14.95	672.75
20201222	Archaeopteryx	白举纲	48	0.4375	20.95	565.65
20200722	Nike	邓超	130	0.475	20.95	1429.84
20200829	Converse	易烊千玺	6	0.055	44.95	254.87
20201109	杰克琼斯	黄渤	26	0.375	49.95	811.69
20201117	Converse	黄子韬	84	0.4375	44.95	2123.89
20201122	Archaeopteryx	易烊千玺	60	0.4375	20.95	707.06
20201218	杰克琼斯	王祖蓝	239	0.525	49.95	5670.57
20200711	Converse	陈立农	240	0.525	44.95	5124.3
20201210	Nike	王源	7	0.055	20.95	138.58
20201129	Puma	王鹤棣	99	0.4375	27.95	1556.47
20200523	Converse	王迅	38	0.4	44.95	1024.86
